Milliseconds,X,Y,Z,ground truth
5920,1.7944547,2.048293,1.7345288,no
5940,1.4433992,1.785351,1.8704637,no
5961,1.3085375,1.7058374,0.52167207,no
5980,1.4921256,1.5240157,0.5102613,no
6000,0.80049247,1.8731498,0.6137917,no
6021,0.3189118,1.561575,1.5961058,no
6040,-0.017512733,1.0894756,1.8811837,no
6061,-0.5583656,0.4803071,2.6422992,no
6080,-1.6383303,0.15178023,2.3243184,no
6100,-1.534528,-0.15604101,0.42834374,no
6121,-1.717225,0.08033169,-0.87363636,no
6140,-1.6503458,0.341447,-1.2047491,no
6161,-1.5668179,0.3520137,-1.4038779,no
6180,-1.301111,0.19722083,-2.1573305,no
6200,-1.5134095,0.07529851,-0.55488515,no
6221,-0.9655402,0.059612013,-0.31361613,no
6240,-0.040180862,0.22896975,-0.43938667,no
6261,1.5458822,0.34114042,-0.8076575,no
6280,3.0168161,0.37399346,1.0186195,no
6301,2.1660419,0.08445568,0.9201775,no
6321,0.10332768,0.29184842,0.18652074,no
6340,-1.1222775,0.18911865,0.22237879,no
6361,-0.35922706,0.64735466,0.071367994,no
6380,1.0599524,0.78324836,-1.7405913,no
6400,3.1147742,0.62277174,0.30195752,no
6421,1.5234783,-0.21172886,-0.1227187,no
6440,0.50477535,-0.4045758,1.0081953,no
6460,-0.87875515,-0.16961381,0.25223976,no
6481,-1.2233418,-0.10647819,-0.27818528,no
6500,-1.6714822,-0.4720062,0.412131,no
6520,-2.372083,-0.8642124,2.2595732,no
6541,-2.3644912,-0.93544465,1.968309,no
6560,0.52824163,-0.7390346,-0.6471495,no
6581,0.9524523,-0.83368254,-3.13714,no
6600,-0.6165572,-1.3228519,-3.94775,no
6620,-2.3955076,-1.8849429,-2.607829,no
6641,-2.5768793,-2.0786343,-2.3562775,no
6660,-4.6555586,-1.1958866,-2.9846559,no
6680,-1.5495734,-0.7129371,1.4755197,no
6701,0.3043186,-0.82946664,3.520072,no
6720,-0.4505336,-0.75803185,2.373272,no
6740,0.38548306,-1.0326982,1.3953274,no
6760,1.6770874,-0.70749044,1.9156759,no
6780,2.3223035,-0.20447907,2.0623937,no
6800,1.3555852,0.28654516,-0.5596236,no
6821,1.9026536,0.6552776,-1.5250732,no
6840,1.3164016,0.7286351,-1.7015616,no
6861,-0.2020665,0.18993966,-2.189223,no
6880,-1.1607239,-0.21827309,-2.9353817,no
6900,-0.5308257,0.59173435,-3.5729733,no
6921,1.764498,-0.72867465,-0.10004968,no
6940,1.750775,0.6238212,4.663935,no
