Milliseconds,X,Y,Z,ground truth
5622,-0.15140416,1.0663246,0.42833886,no
5641,-0.090151444,0.7030693,0.51941895,no
5661,-0.027300842,0.4447427,0.60943377,no
5682,0.07176875,0.31957415,0.7862677,no
5701,0.038745552,0.37070683,0.81716037,no
5722,-0.114119895,0.33395523,0.7255476,no
5741,-0.1290336,0.31105202,0.63819593,no
5761,-0.23502742,0.445808,0.50290734,no
5781,-0.27284428,0.55766076,0.46988416,no
5802,-0.04594297,0.57310706,0.5002442,no
5821,0.095737204,0.36325,0.4890589,no
5841,0.16071834,0.030354852,0.4123599,no
5862,0.21504682,-0.2924203,0.26854917,no
5881,0.2459395,-0.7254503,0.07467105,no
5901,0.32317117,-1.0173327,-0.14477342,no
5921,0.5431483,-1.0391706,-0.35196736,no
5942,0.759397,-0.806943,-0.5160181,no
5961,0.7956159,-0.52944165,-0.6385235,no
5981,0.7034706,-0.5145279,-0.8675554,no
6002,0.6017378,-0.6498165,-1.0763472,no
6021,0.57404095,-0.8570104,-1.2579749,no
6042,0.5735083,-0.75900614,-1.3804802,no
6061,0.6294347,-0.3723151,-1.4752887,no
6081,0.763658,0.29773623,-1.3629034,no
6102,0.74980956,0.7733768,-1.2079074,no
6121,0.727439,0.8745769,-0.9991156,no
6141,0.7061337,0.59547764,-0.8206838,no
6162,0.5708451,0.161915,-0.6134898,no
6181,0.40146902,0.03621599,-0.45689386,no
6202,0.28961626,-0.19760956,-0.14796716,no
6221,0.26618043,-0.4580667,0.12420791,no
6241,0.27523518,-0.68496805,0.3388587,no
6261,0.16125189,-0.9853726,0.4182209,no
6282,0.38442478,-1.1994908,0.10077209,no
6301,0.58362925,-0.99762315,0.08958681,no
6321,0.65979564,-0.968861,0.2760081,no
6341,0.67790514,-1.2996256,0.6030443,no
6362,0.66458935,-1.6692724,0.87362146,no
6381,0.4259701,-1.47859,0.63393694,no
6401,0.3647174,-1.3219962,0.098108925,no
6421,0.39827323,-0.53156996,-0.38232535,no
6442,0.34287947,0.6673852,-0.5192118,no
6461,0.24753831,0.94701713,-0.5138855,no
6481,0.06271492,0.77550954,-0.5383866,no
6502,-0.019843075,0.4308965,-0.5192118,no
6521,0.18894877,0.48202917,-0.3764664,no
6541,0.43502483,0.644482,-0.1767293,no
6562,0.51385444,0.9102655,-0.30296314,no
6581,0.123967625,1.0652615,-0.56448555,no
6601,-0.6866986,1.5483589,-0.4840581,no
6622,-1.1144023,2.1337216,-0.084051296,no
6641,-1.5793902,3.0301416,0.58014107,no
6661,-2.5450525,3.1931272,1.6368834,no
6682,-2.2265384,3.4344096,2.1572652,no
6701,-1.190036,2.2716734,2.1109262,no
6721,-0.63982695,1.2234533,2.3570023,no
6742,-0.31811714,0.4426144,2.6478195,no
6761,-0.022506237,0.07563078,2.5663266,no
6781,0.4291659,0.33928373,2.4379623,no
6802,0.30772573,0.5198461,2.4518108,no
6821,-0.036887307,0.18535301,2.26752,no
6842,-0.4070667,-0.18482639,2.0597935,no
6862,-0.6733828,-0.1123884,2.1886904,no
6881,-0.9775158,-0.026101978,2.2813685,no
6901,-1.4947017,0.34461007,2.2344968,no
6921,-1.7349188,-0.18802218,1.8824269,no
6941,-1.1634045,-0.22903486,1.2358114,no
6962,-0.454471,-0.11611683,1.1122407,no
6981,-0.38522878,-0.13795474,1.0126384,no
7001,-0.65154487,-0.5262436,0.9034489,no
7021,-0.8459556,-0.83357245,0.9146341,no
7042,-0.76179975,-1.2186655,0.95404893,no
7061,-0.24780966,-1.3108109,0.6797433,no
7081,0.08455284,-0.61732376,0.033127792,no
7102,-0.3756414,0.47137654,0.17800376,no
7121,-0.8305093,0.42237437,0.35270712,no
7141,-0.86992407,0.16085193,0.23286489,no
7161,-1.1666002,-0.545951,0.71489704,no
7182,-1.325856,-0.7419565,0.03046766,no
7201,0.18841748,-0.2924149,-0.3775286,no
7221,1.4550169,0.22210786,-0.23744635,no
7241,1.3527515,0.5645904,-0.14317045,no
7262,0.9926921,0.57204723,0.16469099,no
7281,0.6928202,-0.10386307,0.478944,no
7301,0.20333117,-0.8862998,1.0019889,no
7321,-0.47897074,-0.9906957,1.0025215,no
7341,-0.05179966,0.007989701,-0.08191774,no
7361,0.80893403,0.23702157,-0.8329292,no
7381,1.2009513,0.8458202,-1.0081651,no
7401,1.1540797,0.85008126,-1.1301379,no
7422,0.9793763,0.69934636,-1.0688852,no
7441,0.9064057,0.81173176,-0.85210395,no
7461,0.75194234,0.9230519,-0.72800064,no
7481,0.49840942,1.2399681,-0.433455,no
7501,0.23369122,0.96512985,-0.25449055,no
7521,-0.122639745,1.090831,0.05283821,no
7541,-0.48642758,1.5936359,0.17108257,no
7562,-0.72131836,2.38566,0.13060252,no
7581,-0.46618754,0.988033,-0.19483577,no
7601,-0.17217454,-0.6503437,-0.4281287,no
7621,-0.093877606,0.27164263,-0.24863163,no
7641,0.0030614587,0.69402003,-0.16341047,no
7661,0.21931015,0.12463616,-0.32959172,no
7681,0.3492724,0.2444784,-0.34450543,no
7702,0.3636545,0.52198225,-0.15115763,no
7721,0.22943118,0.48895904,-0.08031754,no
7741,0.10372997,-0.027694214,-0.10375336,no
7761,0.0046603796,-0.22370288,-0.3658084,no
7781,-0.18389143,0.10333332,-0.58951396,no
7801,-0.3921506,1.3321158,-0.48352012,no
7821,-0.5785719,3.0653012,-0.17406082,no
7841,-1.499493,1.504156,-0.27845672,no
7861,-1.4941667,0.33023462,-0.29496834,no
7882,0.036085684,-0.26258504,0.011295199,no
7901,0.7173223,-0.19014704,-0.19749664,no
7921,0.38762295,-0.22476813,-0.32479572,no
7941,0.12024157,0.36698624,-0.28751147,no
7961,0.34075132,0.32437566,-0.2214651,no
7981,0.24754068,0.044211138,-0.22466089,no
